id_association,id_ingredient,id_item
efbbfdb2-b30d-411e-b6b5-27fcc9029ccc,0,0
e62c2ff0-e5d6-420c-81c3-cc3a02bf60d8,1,1
d69741eb-1ce8-421a-a4d6-a85c7299daab,2,2
dc20a2de-7315-42e5-96d9-da1900e48860,3,3
cb38e76b-5561-41d0-a236-140bbddb280b,4,4
7a00f6ec-1f68-41ea-9ab5-4f910a950542,5,5
5c0ef681-aca5-45d0-826e-d375b72dc133,6,6
47dd7698-2d33-49ff-a47d-93017de05fd9,7,7
dd8b0cd1-98f6-4405-b070-18bd41c2380c,8,8
28188756-f687-4d44-b6c0-834905542cb2,9,9
8c94ea2a-f5e4-407a-b443-6a0a132766d6,10,10
b15eeff4-4886-47b7-a3bd-b49f3a5403a2,11,11
c25ae2e7-47dd-4221-b054-f5b6b3cf801d,12,12
5795ca6c-d97b-47f3-8e6a-6058407d86d1,13,13
f524a971-2e09-4295-b49e-71d1e1ff9f53,14,14
d3e22d07-de19-40fe-a8c8-4171a0154ff4,15,15
6e72d7e1-cf86-4fca-b024-d13a571b0d6d,16,16
daff4c43-ebb9-4a1f-aabf-eba80993b64f,17,17
a8a1ef9e-35fd-43e6-b91a-2c29941d3f14,18,18
91229323-fa0c-4e4f-883b-d2adfe27141c,19,19
60fd03db-c2fc-4d92-a524-2fe983bbe9be,20,20
f8ae4697-369a-492f-a874-1999faa8c3c4,21,21
d93bf4d5-c774-46e8-9416-f2026686d985,22,22
83e4c640-8340-45f3-b924-92e1db7b6ace,23,23
5b64beb8-8925-4807-8f23-c6bfba35707a,24,24
dc471e34-aa87-4a1d-b749-412a693e4ff3,25,25
aa893f7a-cb07-4244-948c-884ddda2f42b,26,26
7698e340-4f34-4f53-b509-c7c7098f857e,27,27
7a3060af-4b0d-4f3e-bd30-db6a4b223341,28,28
0e8b7863-2533-4989-b16e-d1daa60665ed,29,29
aa768c7b-0f83-4187-8bc4-8e303467dfbd,30,30
435402a3-00c6-4559-89ed-7a5eff1c7bf7,31,31
18332a8c-5d5d-4227-9023-af8e83745dea,32,32
8c2a9e7c-0c94-47a7-aa6f-9fec53b7acac,33,33
6d9d6dda-7242-431f-9322-c95374e971c5,34,34
ac5ca9b0-40cf-43b9-8a05-b51ef8485c3c,35,35
ff55dba1-ad88-497b-aac3-e8cbd4899317,36,36
b7b9a953-d98a-451a-9dbd-1b78276cdcab,37,37
299bb03c-f317-4ef1-8805-9dd7f0a0076d,38,38
2a8e25d1-dbed-4c6d-a3c7-cb5e682a69f9,39,39
22008d97-665d-442b-b144-f95467de6fed,40,40
9296dd82-c1d4-4251-a4a7-b2686153d102,41,41
43aec1c1-2dcf-4573-88ac-98b7d7c0cc45,42,42
dfe731fa-14c5-450c-bf5d-9507e1609eef,43,43
964a4403-26fe-4fc5-93d1-f95998604682,44,44
d9d6a67d-7e11-445a-bad3-df3d6e1c7f80,45,45
2728fdf5-0352-4a70-9a41-468bd1108d83,46,46
2162f156-5b79-405a-8ef8-c07c3d9850ea,47,47
dd137af4-3ca2-4657-8bb8-3d0850e94afb,48,48
8d73155c-918a-4f8f-bf6c-f0432873225a,49,49
2b5966ac-1bb6-4f02-964d-30f939e39847,50,50
ec281b2f-0625-4d65-a169-4a109eb441ca,51,51
77dd4be0-ca79-45df-a427-776ce8bb45e1,52,52
cbea4027-30af-4535-b84d-f526cfb9ac29,53,53
051d778c-f21b-43a3-a080-ea409799ab23,54,54
feaf2e2e-6d15-4a9b-a73b-cd3dcc81918d,55,55
b470db9b-bb3b-4700-b6be-ca35b6f670b1,56,56
9e4dd017-4d3a-4636-92d3-a584df2b003e,57,57
be9033e5-cf65-49d3-969d-f51e1d415648,58,58
1670297a-e083-4c08-88d9-8fb92f5f68b1,59,59
14cff729-d3e8-4a01-af72-bead970c5a60,60,60
bb1b8a66-38db-45ff-9e3e-3cf34d236cf6,61,61
b4c33aa7-6ccd-49bb-875e-f420f53b1109,62,62
7df2fc94-0875-4b41-a42f-b931dd8a8d77,63,63
147302ae-7734-4391-8b66-efa4c1a351e7,64,64
c7e57d2b-fd1f-47d1-b988-4c28845a8151,65,65
cc4f22cc-80dc-4036-abf9-20cd962e191e,66,66
12e12c4c-37a6-44f1-8f89-362c450f9056,67,67
f856534f-d659-4e59-8dd2-4bacd26bbbe0,68,68
7bb291ab-4cb0-42fc-9dd1-52852d6db3c3,69,69
e9ad855c-e97b-4554-8b23-5158d40bcd30,70,70
f871e164-cb84-4143-b54b-7a8ee7d6cd63,71,71
4a9ff79b-4474-439b-b70e-01550fccd525,72,72
554a2967-af60-4d85-ad7c-391587afd9f4,73,73
04cad380-20e7-4825-bdad-2a04b1fcb4df,74,74
54cc1c6e-2eac-4057-8ece-65a8da245249,75,75
e790d6c8-1fb3-48c2-a3a2-bf8dd8fec260,76,76
e403cfd4-d8ea-47c0-b47b-949e17cff55a,77,77
1000e46c-63e1-4714-9a02-4d887fffbb80,78,78
5186b36a-4559-4569-afbf-032359979727,79,79
cdae808c-b2ed-43ea-aae5-d226892ddd80,80,80
732d7b33-3689-4b41-a7b7-f5a53f5bfa3c,81,81
ffb7f017-db04-4144-a702-b9826ecc28f0,82,82
5c18a79e-d062-41dd-bda4-2e5184f1184e,83,83
2f93b94e-99eb-42a3-b283-b9af6c7983d9,84,84
258f35f4-1997-4028-8657-3691c2f04157,85,85
b8f7d9fe-2973-48dc-b723-c2556db55900,86,86
57e6c7f3-09e4-4aa1-8bff-002b883b227b,87,87
68f8decf-d0f3-4f41-9993-60dd9f583571,88,88
b3f4fb38-8b5c-491c-8f47-27ac5b3248df,89,89
6703bb55-63d9-47e0-b9b5-44ba370b6da9,90,90
8ad59df5-9124-43af-8f55-e4459799594c,91,91
53c507db-2e7b-4617-9c11-1e9127b79db9,92,92
cee11ab1-bfd7-4489-a9e8-8c2417c832c9,93,93
ddb9c705-3303-4f6b-9a8e-359977c5c94e,94,94
ccbc6ef6-1505-4fc5-9959-4e72b411828f,95,95
edc6f1af-48da-4af3-b755-96478a7c03c5,96,96
1d4908db-361f-4275-add6-16ad8b0eec6a,97,97
57bed3a3-2def-4549-9958-2e842a4ea66b,98,98
cce51463-0adc-4ab4-841d-3045d1a60a2a,99,99
